17:58:04 | +0.26s | MainThread | INFO | Inicio modo concurrente/streaming con 2 fragmentos
17:58:04 | +0.26s | tts_0 | INFO | Generando fragmento 1
17:58:04 | +0.26s | tts_1 | INFO | Generando fragmento 2
17:58:04 | +0.26s | tts_0 | WARNING | No se pudo generar TTS real (No module named 'pyttsx3'). Se crea audio silencioso.
17:58:04 | +0.26s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
17:58:04 | +0.26s | MainThread | INFO | Reproduciendo fragmento 1
17:58:04 | +0.26s | tts_1 | WARNING | No se pudo generar TTS real (No module named 'pyttsx3'). Se crea audio silencioso.
17:58:04 | +0.26s | tts_1 | INFO | Fragmento 2 listo: fragmento_002.wav
17:58:05 | +1.40s | MainThread | INFO | Termino fragmento 1
17:58:05 | +1.40s | MainThread | INFO | Reproduciendo fragmento 2
17:58:06 | +2.47s | MainThread | INFO | Termino fragmento 2
17:58:06 | +2.47s | MainThread | INFO | Resumen concurrente: 2 fragmentos procesados en 2.23 segundos
17:58:10 | +0.01s | MainThread | INFO | Inicio modo secuencial sin concurrencia con 2 fragmentos
17:58:10 | +0.01s | MainThread | INFO | Generando fragmento 1
17:58:10 | +0.01s | MainThread | WARNING | No se pudo generar TTS real (No module named 'pyttsx3'). Se crea audio silencioso.
17:58:10 | +0.02s | MainThread | INFO | Fragmento 1 listo: fragmento_001.wav
17:58:10 | +0.02s | MainThread | INFO | Reproduciendo fragmento 1
17:58:12 | +1.20s | MainThread | INFO | Termino fragmento 1
17:58:12 | +1.20s | MainThread | INFO | Generando fragmento 2
17:58:12 | +1.20s | MainThread | WARNING | No se pudo generar TTS real (No module named 'pyttsx3'). Se crea audio silencioso.
17:58:12 | +1.20s | MainThread | INFO | Fragmento 2 listo: fragmento_002.wav
17:58:12 | +1.20s | MainThread | INFO | Reproduciendo fragmento 2
17:58:13 | +2.34s | MainThread | INFO | Termino fragmento 2
17:58:13 | +2.34s | MainThread | INFO | Resumen secuencial: 2 fragmentos procesados en 2.32 segundos
18:18:08 | +0.01s | MainThread | INFO | Inicio modo concurrente/streaming con 2 fragmentos
18:18:08 | +0.01s | tts_0 | INFO | Generando fragmento 1
18:18:08 | +0.02s | tts_1 | INFO | Generando fragmento 2
18:18:09 | +1.52s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
18:18:09 | +1.52s | MainThread | INFO | Reproduciendo fragmento 1
18:18:20 | +11.88s | MainThread | INFO | Termino fragmento 1
18:24:56 | +0.02s | MainThread | INFO | Inicio modo concurrente/streaming con 11 fragmentos
18:24:56 | +0.02s | tts_0 | INFO | Generando fragmento 1
18:24:56 | +0.02s | tts_1 | INFO | Generando fragmento 2
18:24:56 | +0.44s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
18:24:56 | +0.44s | MainThread | INFO | Reproduciendo fragmento 1
18:24:56 | +0.44s | tts_0 | INFO | Generando fragmento 3
18:25:06 | +10.28s | MainThread | INFO | Termino fragmento 1
18:27:26 | +0.03s | MainThread | INFO | Inicio modo concurrente/streaming con 11 fragmentos
18:27:26 | +0.03s | tts_0 | INFO | Generando fragmento 1
18:27:28 | +1.21s | tts_0 | INFO | Fragmento 1 listo: fragmento_001.wav
18:27:28 | +1.21s | MainThread | INFO | Reproduciendo fragmento 1
18:27:28 | +1.21s | tts_0 | INFO | Generando fragmento 2
18:27:29 | +2.29s | tts_0 | INFO | Fragmento 2 listo: fragmento_002.wav
18:27:29 | +2.29s | tts_0 | INFO | Generando fragmento 3
18:27:29 | +2.66s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_003.wav', 'Permíteme decirte que te admiro y te amo apasionadamente, más de lo que mi orgullo quisiera admitir, no me es posible disfrazarlo de indiferencia, soy incapaz de contener mis']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:29 | +2.66s | tts_0 | INFO | Fragmento 3 listo: fragmento_003.wav
18:27:29 | +2.66s | tts_0 | INFO | Generando fragmento 4
18:27:29 | +3.05s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_004.wav', 'sentimientos y estoy dispuesto a dejarlos a un lado y hacer caso a que ponga “fin” a esta agonía, aunque sé que este sentimiento no cede ante la prisa ni se disipa con facilidad, y']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:29 | +3.05s | tts_0 | INFO | Fragmento 4 listo: fragmento_004.wav
18:27:37 | +11.12s | MainThread | INFO | Termino fragmento 1
18:27:37 | +11.12s | MainThread | INFO | Reproduciendo fragmento 2
18:27:37 | +11.12s | tts_0 | INFO | Generando fragmento 5
18:27:38 | +11.48s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_005.wav', 'aunque he cambiado y me duele reconocer todo lo que no supe hacer o no buscar las herramientas para mejorar cuando debía user-profile-picture Si en tu corazón ya no queda lo mismo']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:38 | +11.48s | tts_0 | INFO | Fragmento 5 listo: fragmento_005.wav
18:27:47 | +20.61s | MainThread | INFO | Termino fragmento 2
18:27:47 | +20.61s | MainThread | INFO | Reproduciendo fragmento 3
18:27:47 | +20.61s | tts_0 | INFO | Generando fragmento 6
